sku,product_name,stock,cost_price,price
815176,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x160 мм,11,38.25,51.83
815177,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x210 мм,10,40.38,54.93
815178,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x260 мм,13,47.9,66.45
815179,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x310 мм,3,52.65,74.87
815180,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x460 мм,5,71.4,97.9
815181,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x600 мм,8,86.1,118.28
815185,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x210 мм,13,55.92,77.97
815186,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x260 мм,3,67.2,92.14
815189,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x460 мм,8,85.0,115.18
815190,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x600 мм,6,113.4,161.25
815194,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x210 мм,7,64.8,92.14
815195,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x260 мм,5,79.76,112.52
815196,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x310 мм,2,91.3,126.7
815198,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x460 мм,4,123.0,172.77
815199,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x600 мм,8,142.62,201.56
815203,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x260 мм,7,89.73,126.7
815204,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x310 мм,1,106.25,143.98
815205,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x460 мм,1,148.75,201.57
815206,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x600 мм,8,158.93,224.6
815213,APRO PRO Бур по бетону SDS+ HQ S4 Ø20x460 мм,6,171.5,241.88
815214,APRO PRO Бур по бетону SDS+ HQ S4 Ø20x600 мм,2,215.8,299.47
815220,APRO PRO Бур по бетону SDS+ HQ S4 Ø22x460 мм,5,222.4,299.47
815221,APRO PRO Бур по бетону SDS+ HQ S4 Ø22x600 мм,3,279.4,380.09
815223,APRO PRO Бур по бетону SDS+ HQ S4 Ø24x460 мм,2,276.25,374.33
815224,APRO PRO Бур по бетону SDS+ HQ S4 Ø24x600 мм,3,343.03,472.24
815228,APRO PRO Бур по бетону SDS+ HQ S4 Ø25x460 мм,2,296.7,397.37
815229,APRO PRO Бур по бетону SDS+ HQ S4 Ø25x600 мм,2,348.3,466.48
815232,APRO PRO Бур по бетону SDS+ HQ S4 Ø26x460 мм,1,297.5,403.13
815235,APRO PRO Бур по бетону SDS+ HQ S4 Ø28x460 мм,2,387.0,518.31
815236,APRO PRO Бур по бетону SDS+ HQ S4 Ø28x600 мм,2,456.3,621.97
815241,APRO PRO Бур по бетону SDS+ HQ S4 Ø30x460 мм,2,485.9,650.76
815242,APRO PRO Бур по бетону SDS+ HQ S4 Ø30x600 мм,1,522.45,742.91
815140,APRO PRO Бур по бетону SDS+ HQ S4 Ø5x110 мм,4,24.3,34.55
815141,APRO PRO Бур по бетону SDS+ HQ S4 Ø5x160 мм,12,26.32,37.66
815142,APRO PRO Бур по бетону SDS+ HQ S4 Ø6x110 мм,7,24.7,35.0
815143,APRO PRO Бур по бетону SDS+ HQ S4 Ø6x160 мм,43,27.86,38.54
815144,APRO PRO Бур по бетону SDS+ HQ S4 Ø6x210 мм,11,28.35,40.31
815145,APRO PRO Бур по бетону SDS+ HQ S4 Ø6x260 мм,33,36.45,49.17
815146,APRO PRO Бур по бетону SDS+ HQ S4 Ø6x310 мм,3,45.67,60.69
815152,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x110 мм,36,26.32,37.66
815153,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x160 мм,29,28.35,40.31
815154,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x210 мм,10,32.4,46.07
815155,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x260 мм,20,40.09,57.15
815156,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x310 мм,7,44.55,63.35
815157,APRO PRO Бур по бетону SDS+ HQ S4 Ø8x400 мм,10,47.79,67.78
895644,APRO PRO Газонокосарка акумуляторна LM 20 без АКБ без ЗП,9,3315.0,4362.66
830640,APRO PRO Диск ланцюговий для КШМ 125х22.2 14Т,67,142.56,194.03
830108,APRO PRO Диск пильний по дереву 125х22.2 мм 24Т,45,59.5,80.63
830109,APRO PRO Диск пильний по дереву 125х22.2 мм 30Т,48,56.95,77.08
830110,APRO PRO Диск пильний по дереву 125х22.2 мм 40Т,44,64.36,88.16
310422,APRO PRO Знімач ізоляції автоматичний багатофункціональний ПРОФІ 205 мм,2,276.25,360.16
257155,APRO PRO Ключ динамометричний 1/2`` 40-220 Нм,5,1369.52,1788.83
257154,APRO PRO Ключ динамометричний 1/4`` 5-25 Нм,8,781.2,1029.97
481500,APRO PRO Навушники захисні Ultra Protection,14,185.11,243.65
895445,APRO PRO Перфоратор безщіточний 20CBH N 20 В SDS+ 3 Дж без АКБ без ЗП,7,3827.57,5033.81
830616,"APRO PRO Полотно для лобзика (дерево, ламинат) 100/75 мм 2,5 мм-10TPI чистий прямий реверс T101BR",17,69.27,89.49
830604,"APRO PRO Полотно для лобзика (дерево) 100/75 мм 2,5 мм-10TPI чистий прямий T101B (пач. 5шт.)",23,68.32,90.37
830605,APRO PRO Полотно для лобзика (дерево) 100/75 мм 3 мм-8TPI швидкий прямий T111C (пач. 5шт.),13,31.16,47.4
830606,APRO PRO Полотно для лобзика (дерево) 100/75 мм 4 мм-6TPI швидкий прямий T101D (пач. 5шт.),14,57.38,86.83
